Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,ResultScore,100m,Long Jump,Shot Put,High Jump,400m,110m Hurdles,Discus Throw,Pole Vault,Javelin Throw,1500m
1249,8105,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,2,Jyväskylä (FIN),03 JUL 2005,1142,11.25,6.84,15.27,2.10,49.57,14.93,45.41,4.80,61.53,4:30.18
1249,8105,Stefan DREWS,12 FEB 1979,GER,7,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,1142,10.91,7.51,13.99,1.94,48.46,14.20,41.09,5.30,48.93,4:35.38
1249,8105,Ingmar VOS,28 MAY 1986,NED,9,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,1142,10.85,7.45,13.94,2.00,51.12,14.45,41.51,4.66,65.28,4:27.73
1249,8105,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,10,"Letzigrund, Zürich (SUI)",13 AUG 2014,1142,11.25,7.54,14.12,2.10,50.41,14.85,41.92,5.20,60.95,4:48.18
1249,8105,Oleksiy KASYANOV,26 AUG 1985,UKR,2,Aubagne (FRA),05 JUL 2015,1142,10.79,7.60,14.28,1.98,48.80,14.41,46.39,4.70,47.89,4:30.43
1249,8105,Pieter BRAUN,21 JAN 1993,NED,7,"Olympiastadion, Berlin (GER)",08 AUG 2018,1142,11.33,7.52,14.22,2.02,48.52,14.56,43.75,4.60,59.53,4:27.20
1257,8104,Mike MACZEY,28 SEP 1972,GER,1,Lage (GER),05 SEP 1999,1142
1257,8104,Raúl DUANY BUENO,04 JAN 1975,CUB,1,Santiago de Cuba (CUB),03 MAR 2000,1142
1257,8104,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,6,Götzis (AUT),02 JUN 2002,1142,10.99,7.51,16.27,1.97,49.57,14.51,45.30,4.60,61.75,4:55.15
1257,8104,Mike MACZEY,28 SEP 1972,GER,1,Bydgoszcz (POL),30 JUN 2002,1142,11.42,7.25,14.05,1.95,49.81,14.49,46.98,5.00,64.56,4:35.06
1257,8104,Aleksandr PARKHOMENKO,21 MAR 1981,BLR,1,Yalta (UKR),02 JUL 2006,1142,11.38,7.21,16.14,1.92,49.81,14.88,42.21,4.80,66.95,4:24.44
1257,8104,Marcus NILSSON,03 MAY 1991,SWE,3,"Eugene, OR (USA)",06 JUN 2013,1142,11.22,7.14,14.91,1.96,50.03,14.74,48.19,4.80,59.97,4:24.46
1257,8104,Jiří SÝKORA,20 JAN 1995,CZE,1,Ribeira Brava (POR),06 JUL 2019,1142,11.04,7.50,14.66,1.98,49.07,14.62,48.96,4.60,60.10,4:48.03
1264,8103,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,5,Tallinn (EST),05 JUL 1998,1142,11.25,7.03,13.94,2.22,49.37,15.26,46.61,4.50,60.49,4:25.86
1264,8103,Pau TONNESEN,24 OCT 1992,ESP,4,"Eugene, OR (USA)",09 JUN 2016,1142,11.35,7.37,14.10,1.95,50.91,14.39,45.93,5.30,60.44,4:38.20
1264,8103,Ashley MOLONEY,13 MAR 2000,AUS,1,Townsville (AUS),26 JUN 2019,1142,10.59,7.52,13.48,1.92,46.75,14.29,42.36,5.00,54.38,4:53.73
1267,8102,Ivan BABIY,22 JUL 1963,URS,6,Basel (SUI),05 JUL 1987,1142,11.16,7.32,14.45,2.07,49.51,14.11,43.34,4.90,53.64,4:33.56
1267,8102,Roland SCHWARZL,10 DEC 1980,AUT,10,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1142,10.98,7.49,14.01,1.94,49.76,14.25,42.43,5.10,56.32,4:33.56
1267,8102,Aleksandr POGORELOV,10 JAN 1980,RUS,3,Arles (FRA),02 JUL 2006,1142,11.02,7.22,15.23,2.06,50.68,14.34,47.81,5.10,55.00,4:57.72
1267,8102,Damian WARNER,04 NOV 1989,CAN,1,Calgary (CAN),23 JUN 2011,1142,10.41,7.36,13.60,2.03,48.94,13.87,45.67,4.30,56.30,4:44.64
1267,8102,Daniel AWDE,22 JUN 1988,GBR,1,Arona (ESP),27 MAY 2012,1142,10.87,7.47,13.67,1.91,47.14,14.44,42.88,4.70,54.55,4:23.66
1267,8102,Pau TONNESEN,24 OCT 1992,ESP,12,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1142,11.08,7.53,14.65,2.06,53.62,14.60,42.97,5.40,60.86,4:48.90
1273,8101,Aleksandr PARKHOMENKO,21 MAR 1981,BLR,1,Tallinn (EST),08 JUL 2007,1142,11.37,7.12,16.34,1.98,50.42,14.75,43.45,4.70,68.63,4:32.97
1273,8101,Karel TILGA,05 FEB 1998,EST,11,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,1142,11.04,7.33,15.32,2.09,49.82,15.25,40.72,4.70,69.25,4:46.34
1273,8101,Cedric DUBLER,13 JAN 1995,AUS,11,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1142,10.75,7.25,12.43,2.02,48.41,14.13,44.30,4.70,59.04,4:34.75
1276,8100,Maksim ANDRALOITS,17 JUN 1997,BLR,2,"Dinamo National Olympic Stadium, Minsk (BLR)",01 AUG 2020,1142,10.95,7.08,15.37,2.07,49.12,14.45,45.14,4.90,57.38,4:54.08
1277,8099,Valeriy BELOUSOV,22 JAN 1970,RUS,3,Helmond (NED),02 JUL 1995,1142,11.24,7.11,14.04,2.13,50.50,14.36,41.22,4.80,61.08,4:24.43
1277,8099,Zsolt KÜRTÖSI,21 MAR 1971,HUN,7,Götzis (AUT),27 MAY 2001,1142
1277,8099,Sebastian KNABE,13 OCT 1978,GER,6,"Stadionring, Ratingen (GER)",16 JUN 2002,1142,11.06,7.47,14.27,2.04,48.69,14.10,44.31,4.80,50.06,4:35.22
1277,8099,Dmitriy KARPOV,23 JUL 1981,KAZ,3,Talence (FRA),26 SEP 2004,1142,11.02,7.30,14.77,2.04,48.37,14.09,48.95,4.92,50.31,5:00.21
1277,8099,Jacob MINAH,03 APR 1982,GER,1,Bangkok (THA),13 AUG 2007,1142,10.75,7.87,13.80,1.92,47.79,14.38,42.38,4.80,52.66,4:41.11
1277,8099,Mikk PAHAPILL,18 JUL 1983,EST,3,"Kadrioru staadion, Tallinn (EST)",30 JUN 2013,1142,11.27,7.34,14.06,1.98,50.52,14.59,48.08,4.90,63.63,4:38.31
1283,8098,Alexander KRUGER,18 NOV 1963,GBR,9,Götzis (AUT),28 MAY 1995,1141,11.19,7.30,14.01,2.17,50.07,14.76,39.74,4.90,4.90,4:34.00
1283,8098,Gaël QUERIN,26 JUN 1987,FRA,5,"Olympiastadion, Helsinki (FIN)",28 JUN 2012,1141,11.17,7.56,13.05,1.97,48.20,14.37,40.32,5.00,53.60,4:17.29
1283,8098,Vasiliy KHARLAMOV,08 JAN 1986,RUS,2,Cheboksary (RUS),06 JUN 2013,1141,11.06,7.35,15.77,1.93,50.23,14.62,46.61,4.60,62.78,4:35.97
1283,8098,Rik TAAM,17 JAN 1997,NED,13,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1141,10.64,7.11,14.89,1.84,47.12,14.80,43.04,4.70,57.96,4:22.70
1287,8097,Phil MCMULLEN,03 FEB 1975,USA,1,"Knoxville, TN (USA)",13 APR 2000,1141
1287,8097,Zsolt KÜRTÖSI,21 MAR 1971,HUN,13,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1141,11.03,7.17,15.34,2.06,48.68,14.50,45.20,4.70,58.87,4:49.61
1287,8097,Roman ŠEBRLE,26 NOV 1974,CZE,2,Kladno (CZE),10 JUN 2012,1141,11.38,7.49,15.47,2.01,51.14,14.61,44.78,4.77,66.93,4:44.86
1287,8097,Markus BALLENGEE,08 JAN 1998,USA,7,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1141,11.21,6.86,15.26,1.96,50.02,14.49,53.04,5.05,54.78,4:39.55
1291,8096,Dirk-Achim PAJONK,27 MAR 1969,GER,8,Götzis (AUT),26 MAY 1996,1141,10.78,7.47,14.78,1.94,48.01,14.76,43.80,4.50,55.84,4:26.30
1291,8096,Norman MÜLLER,07 AUG 1985,GER,15,"Olympiastadion, Berlin (GER)",20 AUG 2009,1141,11.01,7.35,14.93,1.99,48.20,14.59,41.21,4.80,57.40,4:33.02
1291,8096,Marcel MEYER,01 JAN 2001,GER,4,"Leppävaaran Stadion, Espoo (FIN)",16 JUL 2023,1141,11.02,7.12,15.02,1.97,47.94,14.56,41.86,4.70,57.71,4:22.84
1294,8095,Christian PLAZIAT,28 OCT 1963,FRA,6,Lage (GER),15 JUN 1996,1141,11.36,7.35,14.42,2.13,50.48,14.51,47.30,4.80,55.48,4:36.82
1294,8095,Willem COERTZEN,30 DEC 1982,RSA,4,"Stadionring, Ratingen (GER)",17 JUL 2011,1141,10.97,7.64,13.52,2.03,49.78,14.49,42.73,4.30,64.16,4:26.51
1294,8095,Paweł WIESIOŁEK,13 AUG 1991,POL,1,Warszawa (POL),05 JUN 2016,1141
1294,8095,Rik TAAM,17 JAN 1997,NED,11,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,1141,10.63,7.30,14.31,1.97,48.13,14.51,37.49,5.10,52.99,4:30.66
1298,8094,Lionel MARCENY,17 JUL 1974,FRA,4,Arles (FRA),04 JUN 2000,1141,10.84,7.72,12.90,1.99,48.61,14.29,40.43,5.15,50.82,4:36.26
1298,8094,Claston BERNARD,22 MAR 1979,JAM,1,"Baton Rouge, LA (USA)",01 JUN 2002,1141
1298,8094,Willem COERTZEN,30 DEC 1982,RSA,3,Kladno (CZE),16 JUN 2011,1141,11.23,7.26,14.08,2.01,48.87,14.51,42.73,4.50,66.38,4:26.07
1298,8094,Scott FILIP,28 JAN 1995,USA,2,"Dallas, TX (USA)",02 JUN 2019,1141,10.69,7.47,14.77,2.00,48.01,14.89,37.51,4.80,61.85,4:43.82
1302,8093,Dezső SZABÓ,04 SEP 1967,HUN,13,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1141,11.02,7.29,12.92,2.06,48.23,14.96,39.54,5.00,56.80,4:17.85
1302,8093,Erki NOOL,25 JUN 1970,EST,1,Tallinn (EST),03 JUL 1994,1141,10.68,7.96,14.26,1.94,49.02,15.49,36.72,5.30,58.58,4:45.16
1302,8093,Norman MÜLLER,07 AUG 1985,GER,9,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,1141,11.09,7.21,14.41,1.91,48.37,14.46,43.28,4.90,60.69,4:29.97
1302,8093,Romain BARRAS,01 AUG 1980,FRA,8,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,1141,11.22,7.19,14.36,1.94,49.26,14.29,41.64,4.90,63.17,4:25.66
1302,8093,Bastien AUZEIL,22 OCT 1989,FRA,13,"National Stadium, Beijing (CHN)",29 AUG 2015,1141,11.22,7.26,15.38,2.01,48.66,14.71,42.63,5.10,55.14,4:37.92
1307,8092,Mikhail MEDVED,30 JAN 1964,URS,4,Helmond (NED),07 JUL 1991,1140,11.22,7.37,16.22,2.04,51.31,14.73,49.32,4.90,61.50,5:03.63
1307,8092,Klaus ISEKENMEIER,14 APR 1975,GER,9,Götzis (AUT),26 MAY 1996,1140,11.13,7.62,15.44,1.91,49.25,14.79,44.94,4.50,64.46,4:36.91
1307,8092,Jaakko OJANIEMI,28 AUG 1980,FIN,1,Desenzano del Garda (ITA),12 MAY 2002,1140,10.71,7.48,15.97,2.03,49.77,14.84,43.55,4.50,66.24,5:04.78
1307,8092,Johannes HOCK,24 MAR 1992,GER,2,"Eugene, OR (USA)",12 JUN 2014,1140,10.69,7.41,15.06,1.96,49.48,14.77,48.94,4.40,61.08,4:46.83
1311,8091,Ashton EATON,21 JAN 1988,USA,1,"Eugene, OR (USA)",10 MAY 2009,1140,10.49,7.45,12.63,2.01,47.12,14.01,39.80,4.85,49.69,4:36.87
1311,8091,Brent NEWDICK,31 JAN 1985,NZL,6,Kladno (CZE),16 JUN 2010,1140,11.08,7.37,13.96,1.91,49.40,14.71,46.68,4.70,64.09,4:29.35
1311,8091,Hans VAN ALPHEN,12 JAN 1982,BEL,6,"Stade Pierre Paul Bernard, Talence (FRA)",19 SEP 2010,1140,11.14,7.32,14.81,1.93,49.24,14.87,45.17,4.56,63.84,4:22.70
1311,8091,Kevin MAYER,10 FEB 1992,FRA,1,Cannes (FRA),13 MAY 2012,1140
1311,8091,Makenson GLETTY,02 APR 1999,FRA,1,"Stade des Grands Pêchers, Montreuil (FRA)",17 JUL 2022,1140,10.78,7.29,15.73,1.83,49.02,14.22,46.09,4.60,55.62,4:28.66
1316,8090,Robert ZMĚLÍK,18 APR 1969,TCH,2,Stoke-on-Trent (GBR),07 JUL 1991,1140,10.81,7.27,13.26,2.01,48.76,14.07,39.52,4.90,57.12,4:29.91
1316,8090,Eugenio BALANQUE,20 DEC 1968,CUB,2f,Maracaibo (VEN),16 AUG 1998,1140,10.76,6.82,15.05,1.94,48.67,14.19,45.12,4.80,62.40,4:45.99
1316,8090,Benjamin JENSEN,13 APR 1975,NOR,14,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1140,10.79,7.08,14.47,1.88,48.27,14.22,39.89,5.30,56.51,4:36.45
1316,8090,Aleksey SYSOYEV,08 MAR 1985,RUS,1,Sochi (RUS),18 MAY 2005,1140,10.89,6.73,15.61,2.06,49.60,15.34,53.49,4.40,59.60,4:33.68
1316,8090,Lorenzo NAIDON,15 JUN 1999,ITA,1,"Stadio M.S. Cozzoli, Molfetta (ITA)",30 JUL 2023,1140,10.69,7.45,13.42,1.96,49.25,14.15,38.85,5.20,54.34,4:35.76
1321,8089,David MEWES,07 OCT 1976,GER,9,"La Cartuja, Sevilla (ESP)",25 AUG 1999,1140,11.25,7.43,14.87,2.03,49.87,14.63,44.49,4.60,63.04,4:35.97
1321,8089,Aleksey SYSOYEV,08 MAR 1985,RUS,2,"Steigerwaldstadion, Erfurt (GER)",15 JUL 2005,1140,10.93,6.95,15.45,2.16,50.62,14.84,51.73,4.30,59.30,4:44.63
1321,8089,Dmitriy KARPOV,23 JUL 1981,KAZ,4,Kladno (CZE),16 JUN 2011,1140,11.02,6.87,16.69,1.98,49.77,14.65,51.18,5.10,51.82,4:52.73
1321,8089,Vitaliy ZHUK,10 SEP 1996,BLR,1,"Dinamo National Olympic Stadium, Minsk (BLR)",18 AUG 2022,1140,11.03,6.88,16.39,1.97,50.49,14.83,49.61,4.70,63.78,4:43.10
1325,8088,Andrei NAZAROV,09 JAN 1965,EST,10,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,1140,10.95,7.35,13.34,2.07,49.46,14.23,43.42,4.80,58.94,4:41.39
1325,8088,Andres RAJA,02 JUN 1982,EST,8,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,1140,10.81,7.48,14.15,2.00,48.88,14.18,42.13,4.60,61.44,4:46.74
1325,8088,Sergey SVIRIDOV,20 OCT 1990,RUS,1,Cheboksary (RUS),03 JUN 2012,1140,10.83,7.34,14.75,1.94,49.04,15.45,47.86,4.40,69.00,4:39.49
1325,8088,Keisuke USHIRO,24 JUL 1986,JPN,1,Incheon (KOR),01 OCT 2014,1140,11.10,7.08,14.80,2.02,50.25,15.16,48.98,4.70,68.09,4:43.76
1325,8088,Devon WILLIAMS,17 JAN 1994,USA,10,"Olympic Stadium, London (GBR)",12 AUG 2017,1140,10.93,7.44,14.43,1.96,48.11,14.27,44.29,4.60,57.93,4:40.50
1330,8087,Romain BARRAS,01 AUG 1980,FRA,7,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,1140,11.15,7.35,14.62,1.94,48.63,14.65,44.24,4.80,60.39,4:31.94
1330,8087,Basile ROLNIN,21 JAN 1994,FRA,1,Caorle (ITA),07 AUG 2016,1140
1330,8087,Devon WILLIAMS,17 JAN 1994,USA,3,"Georg-Gaßmann-Stadion, Marburg (GER)",13 AUG 2023,1140,10.97,7.53,14.68,1.96,49.34,13.89,44.68,4.71,56.87,4:47.43
1333,8086,Isaac MURPHY,10 MAY 1990,USA,4,"Eugene, OR (USA)",06 JUN 2013,1140,10.61,7.43,13.91,1.90,48.25,14.34,42.73,4.90,52.86,4:33.30
1333,8086,Taavi TŠERNJAVSKI,04 MAR 1995,EST,1,"Staadion, Rakvere (EST)",08 JUL 2020,1140,10.98,7.22,15.13,1.96,49.35,14.69,46.16,4.80,59.86,4:39.76
1333,8086,Ilya SHKURENYOV,11 JAN 1991,RUS,1,"Yunost Stadium, Adler, Sochi (RUS)",24 SEP 2020,1140,11.16,7.35,14.10,1.99,49.64,14.58,47.39,5.00,59.75,4:46.08
1336,8085,Thorsten DAUTH,11 MAR 1968,GER,5,Helmond (NED),07 JUL 1991,1139,10.69,7.00,15.23,2.04,48.68,14.61,41.02,4.30,62.24,4:27.10
1336,8085,Trond HÖIBY,24 JAN 1973,NOR,1,Herentals (BEL),04 JUL 1999,1139,11.63,6.89,15.10,2.10,50.31,15.18,46.85,4.80,66.20,4:26.70
1336,8085,Chiel WARNERS,02 APR 1978,NED,8,Götzis (AUT),27 MAY 2001,1139
1336,8085,Artem LUKYANENKO,30 JAN 1990,RUS,3,Cheboksary (RUS),06 JUN 2013,1139,10.87,7.22,15.00,1.90,49.34,14.00,38.30,4.90,62.48,4:33.71
1340,8084,Antonio PEÑALVER,01 DEC 1968,ESP,6,Vénissieux (FRA),03 JUL 1994,1139,11.11,7.41,16.50,2.01,51.00,14.88,48.04,4.60,59.48,4:43.68
1340,8084,Aleksandr AVERBUKH,01 OCT 1974,RUS,1,Krasnodar (RUS),21 MAY 1997,1139,10.94,7.50,14.14,2.05,49.60,16.11,40.68,5.60,61.12,4:33.79
1340,8084,Aleksandr POGORELOV,10 JAN 1980,RUS,11,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1139,10.95,7.31,15.10,2.06,50.79,14.21,44.60,5.00,53.45,4:47.63
1340,8084,Aleksey SYSOYEV,08 MAR 1985,RUS,1,Tula (RUS),13 JUN 2006,1139
1340,8084,Mikk PAHAPILL,18 JUL 1983,EST,7,"Mösle-Stadium, Götzis (AUT)",30 MAY 2010,1139,11.05,7.47,15.18,2.00,50.65,14.35,43.63,4.50,62.60,4:34.95
1340,8084,Curtis BEACH,22 JUL 1990,USA,2,"Des Moines, IA (USA)",10 JUN 2011,1139,10.78,7.36,12.08,2.02,46.90,14.76,38.07,4.80,48.42,3:59.13
1340,8084,Jiří SÝKORA,20 JAN 1995,CZE,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",16 JUL 2017,1139,10.99,7.09,14.65,1.96,49.19,14.15,50.37,4.50,63.36,4:50.30
1340,8084,Heath BALDWIN,08 FEB 2001,USA,2,"Hilmer Lodge Stadium, Walnut, CA (USA)",13 APR 2023,1139,11.02,7.24,15.07,2.07,49.58,14.14,42.50,4.50,64.64,4:49.73
1348,8083,Michael SMITH,16 SEP 1967,CAN,14,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1139,10.99,7.37,13.61,1.97,47.83,14.70,43.88,4.30,66.54,4:28.97
1348,8083,Kristjan RAHNU,29 AUG 1979,EST,9,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,1139,10.84,7.40,15.26,2.00,49.67,14.48,43.46,4.80,59.20,4:50.80
1348,8083,Eugène MARTINEAU,14 MAY 1980,NED,9,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,1139,11.15,7.40,13.87,2.00,50.18,14.55,43.80,4.80,65.86,4:37.63
1348,8083,Oleksiy KASYANOV,26 AUG 1985,UKR,1,Kladno (CZE),15 JUN 2014,1139,10.77,7.33,14.08,2.00,48.84,14.03,45.15,4.75,49.50,4:34.28
1348,8083,Jan DOLEŽAL,06 JUN 1996,CZE,2,Ribeira Brava (POR),06 JUL 2019,1139,10.99,7.11,15.03,1.95,49.32,15.19,49.56,4.70,65.02,4:42.72
1353,8082,Eugène MARTINEAU,14 MAY 1980,NED,10,Götzis (AUT),30 MAY 2004,1139,11.05,7.37,13.67,2.00,48.58,15.35,40.04,4.90,64.14,4:24.10
1354,8081,Karl-Heinz FICHTNER,16 AUG 1962,FRG,7,Götzis (AUT),24 MAY 1987,1139,11.05,7.47,15.10,1.99,50.24,15.11,46.76,5.00,54.24,4:35.42
1354,8081,Ramil GANIYEV,23 SEP 1968,UZB,10,Götzis (AUT),28 MAY 1995,1139,11.18,7.21,13.84,2.05,48.56,14.42,42.34,5.10,5.10,4:32.53
1354,8081,Philipp HUBER,18 FEB 1974,SUI,12,"Népstadion, Budapest (HUN)",20 AUG 1998,1139,10.94,7.12,14.42,1.85,47.87,14.74,44.66,4.90,58.57,4:23.27
1354,8081,Stefan SCHMID,06 MAY 1970,GER,4,Talence (FRA),16 SEP 2001,1139,11.05,7.53,14.23,1.91,49.26,14.56,42.96,4.95,63.44,4:42.86
1354,8081,Kristjan RAHNU,29 AUG 1979,EST,1,"Arlington, TX (USA)",11 MAY 2002,1139
1354,8081,Aleksey DROZDOV,03 DEC 1983,RUS,5,Szczecin (POL),28 JUN 2009,1139,11.20,7.26,15.88,2.07,50.99,15.45,47.46,4.90,61.39,4:44.45
1354,8081,Curtis BEACH,22 JUL 1990,USA,1,"Chula Vista, CA (USA)",23 MAY 2015,1139
1361,8080,Dezső SZABÓ,04 SEP 1967,HUN,5,Götzis (AUT),18 JUN 1989,1139,11.03,7.54,13.55,2.05,48.25,14.89,38.36,4.80,59.04,4:26.59
1361,8080,Scott FERRIER,12 JUN 1974,AUS,1f,Sydney (AUS),09 AUG 1998,1139,11.18,7.34,14.21,2.08,48.98,14.52,45.51,4.90,58.93,4:53.94
1361,8080,Aleksey DROZDOV,03 DEC 1983,RUS,4,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2005,1139,11.34,7.09,15.41,2.07,51.76,15.06,49.52,4.70,67.08,4:40.92
1361,8080,Artem LUKYANENKO,30 JAN 1990,RUS,2,"Adler, Sochi (RUS)",08 MAY 2012,1139,10.97,7.40,14.34,2.03,49.50,14.15,39.83,4.70,62.37,4:40.63
1361,8080,Mathias BRUGGER,06 AUG 1992,GER,2,"Stadionring, Ratingen (GER)",20 JUN 2021,1139,11.08,7.07,15.12,1.91,48.62,14.28,43.64,4.80,55.69,4:20.45
1366,8079,Rainer SONNENBURG,20 OCT 1960,FRG,11,Götzis (AUT),19 JUN 1988,1138,10.88,7.69,15.24,1.96,50.00,14.51,45.16,4.20,62.68,4:38.15
1366,8079,Phil MCMULLEN,03 FEB 1975,USA,15,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1138,11.39,6.94,15.12,1.97,49.08,15.09,48.85,5.10,53.50,4:20.84
1368,8078,Tomáš DVOŘÁK,11 MAY 1972,CZE,6,Götzis (AUT),29 MAY 1994,1138,10.76,7.53,15.10,1.99,49.47,14.16,39.84,4.40,59.48,4:34.44
1368,8078,Alexander KRUGER,18 NOV 1963,GBR,7,Götzis (AUT),29 MAY 1994,1138,11.22,7.45,14.63,2.14,50.04,15.09,43.44,4.80,57.08,4:34.86
1368,8078,Maurice SMITH,28 SEP 1980,JAM,1,Kingston (JAM),28 MAY 2011,1138,10.94,7.16,16.88,1.91,49.80,14.01,47.61,4.60,56.50,4:48.13
1368,8078,Florian GEFFROUAIS,05 DEC 1988,FRA,1,Aubagne (FRA),28 MAY 2012,1138,11.19,7.10,15.51,1.95,49.86,15.46,45.70,4.80,60.36,4:13.95
1372,8077,Florian SCHÖNBECK,13 JAN 1974,GER,12,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1138,10.90,7.30,14.77,1.88,50.30,14.34,44.41,5.00,60.89,4:38.82
1372,8077,Mikk PAHAPILL,18 JUL 1983,EST,1,"Stade Pierre Paul Bernard, Talence (FRA)",21 SEP 2014,1138,11.34,6.96,14.80,2.11,51.56,14.68,48.44,4.90,60.64,4:35.91
1372,8077,Oleksiy KASYANOV,26 AUG 1985,UKR,1,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2016,1138,10.65,7.42,14.82,1.99,49.19,14.08,45.26,4.46,47.94,4:28.42
1372,8077,Artyom MAKARENKO,23 APR 1997,ANA,2,"Olympic Stadium, Cheboksary (RUS)",03 AUG 2022,1138,10.72,7.41,14.66,1.99,48.55,14.02,40.47,4.80,51.78,4:39.43
1376,8076,Beat GÄHWILER,26 JAN 1965,SUI,6,Helmond (NED),07 JUL 1991,1138,11.30,7.44,13.76,1.92,49.54,14.80,43.16,5.00,61.68,4:21.04
1376,8076,Gernot KELLERMAYR,05 APR 1966,AUT,11,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1138,10.49,7.53,14.56,1.91,47.91,14.64,45.06,4.80,53.74,4:52.56
1376,8076,Petri KESKITALO,10 MAR 1967,FIN,4,Oulu (FIN),11 JUL 1993,1138,11.18,7.65,14.83,1.95,49.76,14.59,44.98,4.80,65.74,4:56.52
1376,8076,Roman ŠEBRLE,26 NOV 1974,CZE,2,Kladno (CZE),19 JUN 2008,1138,11.16,7.51,15.32,1.95,50.13,15.15,46.91,4.75,66.05,4:46.76
1380,8075,Vitaliy KOLPAKOV,02 FEB 1972,UKR,5,Oulu (FIN),11 JUL 1993,1138,11.23,7.80,15.00,2.07,48.23,14.66,41.54,4.40,57.48,4:39.86
1380,8075,Michael KOHNLE,03 MAY 1970,GER,9,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,1138,11.16,7.40,14.34,2.00,50.17,14.51,44.70,5.00,62.10,4:47.95
1380,8075,Chad SMITH,09 JAN 1974,USA,4,"Eugene, OR (USA)",22 JUN 2001,1138,10.81,7.25,14.52,1.89,48.55,14.13,46.23,5.00,52.58,4:42.69
1380,8075,Norman MÜLLER,07 AUG 1985,GER,4,"Stade Pierre Paul Bernard, Talence (FRA)",14 SEP 2008,1138,11.09,7.36,14.54,1.91,48.40,14.73,40.33,4.85,63.05,4:28.04
1380,8075,Ashton EATON,21 JAN 1988,USA,2,"Eugene, OR (USA)",26 JUN 2009,1138,10.53,7.60,12.63,2.05,47.99,14.03,41.33,4.50,51.46,4:35.45
1380,8075,Adam Sebastian HELCELET,27 OCT 1991,CZE,4,"Mösle-Stadium, Götzis (AUT)",26 MAY 2013,1138,11.05,7.32,14.96,2.03,50.36,14.35,40.95,4.76,64.11,4:42.13
1380,8075,Jente HAUTTEKEETE,14 MAR 2002,BEL,12,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,1138,10.84,7.36,14.59,2.09,48.96,14.29,40.26,4.80,49.44,4:32.71
1380,8075,Tim NOWAK,13 AUG 1995,GER,6,"Stadionring, Ratingen (GER)",18 JUN 2023,1138,11.53,7.00,13.70,1.98,49.32,14.39,46.09,5.00,59.22,4:18.22
1388,8074,Peter WINTER,17 JAN 1971,AUS,2,Victoria (CAN),24 AUG 1994,1138,10.79,7.65,13.68,1.95,47.95,14.47,41.08,4.90,60.40,4:54.94
1388,8074,André NIKLAUS,30 AUG 1981,GER,7,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005,1138,11.06,7.35,14.14,2.03,49.37,14.61,42.36,4.80,59.92,4:33.58
1388,8074,Maurice SMITH,28 SEP 1980,JAM,2,Melbourne (AUS),21 MAR 2006,1138,10.81,6.91,15.09,1.90,49.35,14.33,50.26,4.40,60.20,4:29.95
1388,8074,Yordani GARCÍA,21 NOV 1988,CUB,3,Guadalajara (MEX),25 OCT 2011,1138,10.68,6.78,14.81,2.05,48.84,14.22,40.20,4.80,63.81,4:49.29
1388,8074,Ondřej KOPECKÝ,16 MAY 1998,CZE,1,"Atletický stadion Slavia Praha, Praha (CZE)",13 AUG 2023,1138,11.20,7.69,13.38,1.91,49.42,14.25,48.37,4.90,56.49,4:40.45
