Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Long Jump,Discus Throw,Javelin Throw,1500m,200m,ResultScore
1237,8107,Jiří SÝKORA,20 JAN 1995,CZE,13,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,7.14,54.39,61.49,4:55.90,23.22,3700
1247,8106,Zsolt KÜRTÖSI,21 MAR 1971,HUN,13,Götzis (AUT),04 JUN 2000,7.34,47.34,55.12,4:52.35,24.60,3383
1247,8106,Mustafa ABDUR-RAHIM,29 SEP 1982,USA,1,"Alamosa, CO (USA)",19 APR 2008,7.22,51.45,54.72,4:39.60,24.23,3636
1249,8105,Sébastien LEVICQ,25 JUN 1971,FRA,5,Götzis (AUT),29 MAY 1994,7.28,47.96,64.44,4:31.96,24.02,3845
1249,8105,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Jyväskylä (FIN),03 JUL 2005,7.25,42.75,69.11,4:38.12,23.43,3811
1249,8105,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,2,Jyväskylä (FIN),03 JUL 2005,6.84,45.41,61.53,4:30.18,24.27,3651
1249,8105,Stefan DREWS,12 FEB 1979,GER,7,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,7.51,41.09,48.93,4:35.38,24.30,3470
1249,8105,Ingmar VOS,28 MAY 1986,NED,9,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,7.45,41.51,65.28,4:27.73,23.46,3903
1249,8105,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,10,"Letzigrund, Zürich (SUI)",13 AUG 2014,7.54,41.92,60.95,4:48.18,23.73,3578
1257,8104,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,6,Götzis (AUT),02 JUN 2002,7.51,45.3,61.75,4:55.15,24.19,3496
1257,8104,Mike MACZEY,28 SEP 1972,GER,1,Bydgoszcz (POL),30 JUN 2002,7.25,46.98,64.56,4:35.06,24.16,3765
1257,8104,Aleksandr PARKHOMENKO,21 MAR 1981,BLR,1,Yalta (UKR),02 JUL 2006,7.21,42.21,66.95,4:24.44,23.72,3894
1257,8104,Marcus NILSSON,03 MAY 1991,SWE,3,"Eugene, OR (USA)",06 JUN 2013,7.14,48.19,59.97,4:24.46,23.96,3858
1257,8104,Jiří SÝKORA,20 JAN 1995,CZE,1,Ribeira Brava (POR),06 JUL 2019,7.5,48.96,60.1,4:48.03,24.54,3580
1264,8103,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,5,Tallinn (EST),05 JUL 1998,7.03,46.61,60.49,4:25.86,22.64,3972
1264,8103,Pau TONNESEN,24 OCT 1992,ESP,4,"Eugene, OR (USA)",09 JUN 2016,7.37,45.93,60.44,4:38.20,23.94,3704
1264,8103,Ashley MOLONEY,13 MAR 2000,AUS,1,Townsville (AUS),26 JUN 2019,7.52,42.36,54.38,4:53.73,23.91,3396
1267,8102,Ivan BABIY,22 JUL 1963,URS,6,Basel (SUI),05 JUL 1987,7.32,43.34,53.64,4:33.56,24.24,3568
1267,8102,Roland SCHWARZL,10 DEC 1980,AUT,10,"Olympic Stadium, Athina (GRE)",24 AUG 2004,7.49,42.43,56.32,4:33.56,23.25,3758
1267,8102,Aleksandr POGORELOV,10 JAN 1980,RUS,3,Arles (FRA),02 JUL 2006,7.22,47.81,55,4:57.72,22.96,3517
1267,8102,Damian WARNER,04 NOV 1989,CAN,1,Calgary (CAN),23 JUN 2011,7.36,45.67,56.3,4:44.64,25.26,3381
1267,8102,Daniel AWDE,22 JUN 1988,GBR,1,Arona (ESP),27 MAY 2012,7.47,42.88,54.55,4:23.66,24.39,3708
1267,8102,Pau TONNESEN,24 OCT 1992,ESP,12,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,7.53,42.97,60.86,4:48.90,23.97,3553
1273,8101,Aleksandr PARKHOMENKO,21 MAR 1981,BLR,1,Tallinn (EST),08 JUL 2007,7.12,43.45,68.63,4:32.97,23.30,3871
1273,8101,Karel TILGA,05 FEB 1998,EST,11,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,7.33,40.72,69.25,4:46.34,23.67,3659
1273,8101,Cedric DUBLER,13 JAN 1995,AUS,11,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,7.25,44.3,59.04,4:34.75,24.33,3619
1277,8099,Valeriy BELOUSOV,22 JAN 1970,RUS,3,Helmond (NED),02 JUL 1995,7.11,41.22,61.08,4:24.43,23.60,3788
1277,8099,Sebastian KNABE,13 OCT 1978,GER,6,"Stadionring, Ratingen (GER)",16 JUN 2002,7.47,44.31,50.06,4:35.22,23.10,3700
1277,8099,Dmitriy KARPOV,23 JUL 1981,KAZ,3,Talence (FRA),26 SEP 2004,7.3,48.95,50.31,5:00.21,24.35,3272
1277,8099,Jacob MINAH,03 APR 1982,GER,1,Bangkok (THA),13 AUG 2007,7.87,42.38,52.66,4:41.11,24.15,3573
1277,8099,Mikk PAHAPILL,18 JUL 1983,EST,3,"Kadrioru staadion, Tallinn (EST)",30 JUN 2013,7.34,48.08,63.63,4:38.31,23.51,3838
1283,8098,Alexander KRUGER,18 NOV 1963,GBR,9,Götzis (AUT),28 MAY 1995,7.3,39.74,4.9,4:34.00,24.12,2821
1283,8098,Gaël QUERIN,26 JUN 1987,FRA,5,"Olympiastadion, Helsinki (FIN)",28 JUN 2012,7.56,40.32,53.6,4:17.29,22.80,3960
1283,8098,Rik TAAM,17 JAN 1997,NED,13,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,7.11,43.04,57.96,4:22.70,23.58,3802
1287,8097,Zsolt KÜRTÖSI,21 MAR 1971,HUN,13,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,7.17,45.2,58.87,4:49.61,24.15,3455
1287,8097,Roman ŠEBRLE,26 NOV 1974,CZE,2,Kladno (CZE),10 JUN 2012,7.49,44.78,66.93,4:44.86,23.19,3818
1287,8097,Markus BALLENGEE,08 JAN 1998,USA,7,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,6.86,53.04,54.78,4:39.55,23.41,3699
1291,8096,Dirk-Achim PAJONK,27 MAR 1969,GER,8,Götzis (AUT),26 MAY 1996,7.47,43.8,55.84,4:26.30,23.33,3852
1291,8096,Norman MÜLLER,07 AUG 1985,GER,15,"Olympiastadion, Berlin (GER)",20 AUG 2009,7.35,41.21,57.4,4:33.02,24.40,3573
1291,8096,Marcel MEYER,01 JAN 2001,GER,4,"Leppävaaran Stadion, Espoo (FIN)",16 JUL 2023,7.12,41.86,57.71,4:22.84,23.91,3733
1294,8095,Willem COERTZEN,30 DEC 1982,RSA,4,"Stadionring, Ratingen (GER)",17 JUL 2011,7.64,42.73,64.16,4:26.51,23.13,4011
1298,8094,Lionel MARCENY,17 JUL 1974,FRA,4,Arles (FRA),04 JUN 2000,7.72,40.43,50.82,4:36.26,23.78,3589
1298,8094,Willem COERTZEN,30 DEC 1982,RSA,3,Kladno (CZE),16 JUN 2011,7.26,42.73,66.38,4:26.07,23.42,3926
1298,8094,Scott FILIP,28 JAN 1995,USA,2,"Dallas, TX (USA)",02 JUN 2019,7.47,37.51,61.85,4:43.82,23.46,3585
1302,8093,Dezső SZABÓ,04 SEP 1967,HUN,13,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,7.29,39.54,56.8,4:17.85,23.52,3829
1302,8093,Erki NOOL,25 JUN 1970,EST,1,Tallinn (EST),03 JUL 1994,7.96,36.72,58.58,4:45.16,23.90,3555
1302,8093,Norman MÜLLER,07 AUG 1985,GER,9,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,7.21,43.28,60.69,4:29.97,23.70,3759
1302,8093,Romain BARRAS,01 AUG 1980,FRA,8,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,7.19,41.64,63.17,4:25.66,24.58,3695
1302,8093,Bastien AUZEIL,22 OCT 1989,FRA,13,"National Stadium, Beijing (CHN)",29 AUG 2015,7.26,42.63,55.14,4:37.92,23.84,3562
1307,8092,Mikhail MEDVED,30 JAN 1964,URS,4,Helmond (NED),07 JUL 1991,7.37,49.32,61.5,5:03.63,23.73,3492
1307,8092,Klaus ISEKENMEIER,14 APR 1975,GER,9,Götzis (AUT),26 MAY 1996,7.62,44.94,64.46,4:36.91,23.62,3856
1307,8092,Jaakko OJANIEMI,28 AUG 1980,FIN,1,Desenzano del Garda (ITA),12 MAY 2002,7.48,43.55,66.24,5:04.78,22.70,3601
1307,8092,Johannes HOCK,24 MAR 1992,GER,2,"Eugene, OR (USA)",12 JUN 2014,7.41,48.94,61.08,4:46.83,23.85,3681
1311,8091,Ashton EATON,21 JAN 1988,USA,1,"Eugene, OR (USA)",10 MAY 2009,7.45,39.8,49.69,4:36.87,23.84,3488
1311,8091,Hans VAN ALPHEN,12 JAN 1982,BEL,6,"Stade Pierre Paul Bernard, Talence (FRA)",19 SEP 2010,7.32,45.17,63.84,4:22.70,23.53,3976
1311,8091,Makenson GLETTY,02 APR 1999,FRA,1,"Stade des Grands Pêchers, Montreuil (FRA)",17 JUL 2022,7.29,46.09,55.62,4:28.66,23.40,3813
1316,8090,Robert ZMĚLÍK,18 APR 1969,TCH,2,Stoke-on-Trent (GBR),07 JUL 1991,7.27,39.52,57.12,4:29.91,23.28,3710
1316,8090,Eugenio BALANQUE,20 DEC 1968,CUB,2f,Maracaibo (VEN),16 AUG 1998,6.82,45.12,62.4,4:45.99,23.79,3521
1316,8090,Benjamin JENSEN,13 APR 1975,NOR,14,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,7.08,39.89,56.51,4:36.45,23.54,3551
1316,8090,Aleksey SYSOYEV,08 MAR 1985,RUS,1,Sochi (RUS),18 MAY 2005,6.73,53.49,59.6,4:33.68,24.12,3725
1316,8090,Lorenzo NAIDON,15 JUN 1999,ITA,1,"Stadio M.S. Cozzoli, Molfetta (ITA)",30 JUL 2023,7.45,38.85,54.34,4:35.76,24.16,3506
1321,8089,David MEWES,07 OCT 1976,GER,9,"La Cartuja, Sevilla (ESP)",25 AUG 1999,7.43,44.49,63.04,4:35.97,23.94,3755
1321,8089,Aleksey SYSOYEV,08 MAR 1985,RUS,2,"Steigerwaldstadion, Erfurt (GER)",15 JUL 2005,6.95,51.73,59.3,4:44.63,24.18,3591
1321,8089,Dmitriy KARPOV,23 JUL 1981,KAZ,4,Kladno (CZE),16 JUN 2011,6.87,51.18,51.82,4:52.73,23.79,3410
1321,8089,Vitaliy ZHUK,10 SEP 1996,BLR,1,"Dinamo National Olympic Stadium, Minsk (BLR)",18 AUG 2022,6.88,49.61,63.78,4:43.10,23.50,3711
1325,8088,Andrei NAZAROV,09 JAN 1965,EST,10,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,7.35,43.42,58.94,4:41.39,23.57,3642
1325,8088,Andres RAJA,02 JUN 1982,EST,8,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,7.48,42.13,61.44,4:46.74,24.15,3537
1325,8088,Sergey SVIRIDOV,20 OCT 1990,RUS,1,Cheboksary (RUS),03 JUN 2012,7.34,47.86,69,4:39.49,23.32,3921
1325,8088,Keisuke USHIRO,24 JUL 1986,JPN,1,Incheon (KOR),01 OCT 2014,7.08,48.98,68.09,4:43.76,23.64,3776
1330,8087,Romain BARRAS,01 AUG 1980,FRA,7,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,7.35,44.24,60.39,4:31.94,23.76,3770
1330,8087,Devon WILLIAMS,17 JAN 1994,USA,3,"Georg-Gaßmann-Stadion, Marburg (GER)",13 AUG 2023,7.53,44.68,56.87,4:47.43,23.77,3573
1333,8086,Isaac MURPHY,10 MAY 1990,USA,4,"Eugene, OR (USA)",06 JUN 2013,7.43,42.73,52.86,4:33.30,23.99,3606
1333,8086,Taavi TŠERNJAVSKI,04 MAR 1995,EST,1,"Staadion, Rakvere (EST)",08 JUL 2020,7.22,46.16,59.86,4:39.76,23.35,3727
1333,8086,Ilya SHKURENYOV,11 JAN 1991,RUS,1,"Yunost Stadium, Adler, Sochi (RUS)",24 SEP 2020,7.35,47.39,59.75,4:46.08,24.52,3541
1336,8085,Trond HÖIBY,24 JAN 1973,NOR,1,Herentals (BEL),04 JUL 1999,6.89,46.85,66.2,4:26.70,23.69,3875
1336,8085,Artem LUKYANENKO,30 JAN 1990,RUS,3,Cheboksary (RUS),06 JUN 2013,7.22,38.3,62.48,4:33.71,23.83,3631
1340,8084,Antonio PEÑALVER,01 DEC 1968,ESP,6,Vénissieux (FRA),03 JUL 1994,7.41,48.04,59.48,4:43.68,24.23,3631
1340,8084,Aleksandr POGORELOV,10 JAN 1980,RUS,11,"Olympic Stadium, Athina (GRE)",24 AUG 2004,7.31,44.6,53.45,4:47.63,24.25,3409
1340,8084,Mikk PAHAPILL,18 JUL 1983,EST,7,"Mösle-Stadium, Götzis (AUT)",30 MAY 2010,7.47,43.63,62.6,4:34.95,23.72,3784
1340,8084,Curtis BEACH,22 JUL 1990,USA,2,"Des Moines, IA (USA)",10 JUN 2011,7.36,38.07,48.42,3:59.13,23.87,3885
1340,8084,Jiří SÝKORA,20 JAN 1995,CZE,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",16 JUL 2017,7.09,50.37,63.36,4:50.30,23.27,3705
1340,8084,Heath BALDWIN,08 FEB 2001,USA,2,"Hilmer Lodge Stadium, Walnut, CA (USA)",13 APR 2023,7.24,42.5,64.64,4:49.73,23.78,3550
1348,8083,Michael SMITH,16 SEP 1967,CAN,14,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,7.37,43.88,66.54,4:28.97,24.16,3838
1348,8083,Kristjan RAHNU,29 AUG 1979,EST,9,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,7.4,43.46,59.2,4:50.80,23.46,3555
1348,8083,Eugène MARTINEAU,14 MAY 1980,NED,9,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,7.4,43.8,65.86,4:37.63,23.77,3778
1348,8083,Oleksiy KASYANOV,26 AUG 1985,UKR,1,Kladno (CZE),15 JUN 2014,7.33,45.15,49.5,4:34.28,23.56,3627
1348,8083,Jan DOLEŽAL,06 JUN 1996,CZE,2,Ribeira Brava (POR),06 JUL 2019,7.11,49.56,65.02,4:42.72,24.11,3700
1353,8082,Eugène MARTINEAU,14 MAY 1980,NED,10,Götzis (AUT),30 MAY 2004,7.37,40.04,64.14,4:24.10,23.64,3864
1354,8081,Karl-Heinz FICHTNER,16 AUG 1962,FRG,7,Götzis (AUT),24 MAY 1987,7.47,46.76,54.24,4:35.42,23.25,3781
1354,8081,Ramil GANIYEV,23 SEP 1968,UZB,10,Götzis (AUT),28 MAY 1995,7.21,42.34,5.1,4:32.53,23.79,2915
1354,8081,Stefan SCHMID,06 MAY 1970,GER,4,Talence (FRA),16 SEP 2001,7.53,42.96,63.44,4:42.86,24.46,3598
1354,8081,Aleksey DROZDOV,03 DEC 1983,RUS,5,Szczecin (POL),28 JUN 2009,7.26,47.46,61.39,4:44.45,23.44,3711
1361,8080,Dezső SZABÓ,04 SEP 1967,HUN,5,Götzis (AUT),18 JUN 1989,7.54,38.36,59.04,4:26.59,24.81,3610
1361,8080,Scott FERRIER,12 JUN 1974,AUS,1f,Sydney (AUS),09 AUG 1998,7.34,45.51,58.93,4:53.94,23.81,3490
1361,8080,Aleksey DROZDOV,03 DEC 1983,RUS,4,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2005,7.09,49.52,67.08,4:40.92,23.59,3816
1361,8080,Artem LUKYANENKO,30 JAN 1990,RUS,2,"Adler, Sochi (RUS)",08 MAY 2012,7.4,39.83,62.37,4:40.63,23.92,3598
1361,8080,Mathias BRUGGER,06 AUG 1992,GER,2,"Stadionring, Ratingen (GER)",20 JUN 2021,7.07,43.64,55.69,4:20.45,23.95,3750
1366,8079,Rainer SONNENBURG,20 OCT 1960,FRG,11,Götzis (AUT),19 JUN 1988,7.69,45.16,62.68,4:38.15,23.66,3829
1366,8079,Phil MCMULLEN,03 FEB 1975,USA,15,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,6.94,48.85,53.5,4:20.84,24.16,3754
1368,8078,Tomáš DVOŘÁK,11 MAY 1972,CZE,6,Götzis (AUT),29 MAY 1994,7.53,39.84,59.48,4:34.44,23.89,3667
1368,8078,Alexander KRUGER,18 NOV 1963,GBR,7,Götzis (AUT),29 MAY 1994,7.45,43.44,57.08,4:34.86,24.08,3651
1368,8078,Maurice SMITH,28 SEP 1980,JAM,1,Kingston (JAM),28 MAY 2011,7.16,47.61,56.5,4:48.13,24.03,3498
1368,8078,Florian GEFFROUAIS,05 DEC 1988,FRA,1,Aubagne (FRA),28 MAY 2012,7.1,45.7,60.36,4:13.95,24.75,3834
1372,8077,Florian SCHÖNBECK,13 JAN 1974,GER,12,"Olympic Stadium, Athina (GRE)",24 AUG 2004,7.3,44.41,60.89,4:38.82,23.50,3719
1372,8077,Mikk PAHAPILL,18 JUL 1983,EST,1,"Stade Pierre Paul Bernard, Talence (FRA)",21 SEP 2014,6.96,48.44,60.64,4:35.91,23.33,3775
1372,8077,Oleksiy KASYANOV,26 AUG 1985,UKR,1,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2016,7.42,45.26,47.94,4:28.42,24.05,3634
1372,8077,Artyom MAKARENKO,23 APR 1997,ANA,2,"Olympic Stadium, Cheboksary (RUS)",03 AUG 2022,7.41,40.47,51.78,4:39.43,22.96,3607
1376,8076,Beat GÄHWILER,26 JAN 1965,SUI,6,Helmond (NED),07 JUL 1991,7.44,43.16,61.68,4:21.04,24.04,3886
1376,8076,Gernot KELLERMAYR,05 APR 1966,AUT,11,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,7.53,45.06,53.74,4:52.56,24.15,3421
1376,8076,Petri KESKITALO,10 MAR 1967,FIN,4,Oulu (FIN),11 JUL 1993,7.65,44.98,65.74,4:56.52,23.56,3644
1376,8076,Roman ŠEBRLE,26 NOV 1974,CZE,2,Kladno (CZE),19 JUN 2008,7.51,46.91,66.05,4:46.76,24.16,3695
1380,8075,Vitaliy KOLPAKOV,02 FEB 1972,UKR,5,Oulu (FIN),11 JUL 1993,7.8,41.54,57.48,4:39.86,23.39,3728
1380,8075,Michael KOHNLE,03 MAY 1970,GER,9,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,7.4,44.7,62.1,4:47.95,23.53,3645
1380,8075,Chad SMITH,09 JAN 1974,USA,4,"Eugene, OR (USA)",22 JUN 2001,7.25,46.23,52.58,4:42.69,23.02,3640
1380,8075,Norman MÜLLER,07 AUG 1985,GER,4,"Stade Pierre Paul Bernard, Talence (FRA)",14 SEP 2008,7.36,40.33,63.05,4:28.04,24.15,3734
1380,8075,Ashton EATON,21 JAN 1988,USA,2,"Eugene, OR (USA)",26 JUN 2009,7.6,41.33,51.46,4:35.45,23.55,3630
1380,8075,Adam Sebastian HELCELET,27 OCT 1991,CZE,4,"Mösle-Stadium, Götzis (AUT)",26 MAY 2013,7.32,40.95,64.11,4:42.13,24.13,3579
1380,8075,Jente HAUTTEKEETE,14 MAR 2002,BEL,12,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,7.36,40.26,49.44,4:32.71,23.18,3613
1380,8075,Tim NOWAK,13 AUG 1995,GER,6,"Stadionring, Ratingen (GER)",18 JUN 2023,7,46.09,59.22,4:18.22,23.83,3874
1388,8074,Peter WINTER,17 JAN 1971,AUS,2,Victoria (CAN),24 AUG 1994,7.65,41.08,60.4,4:54.94,23.66,3504
1388,8074,André NIKLAUS,30 AUG 1981,GER,7,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005,7.35,42.36,59.92,4:33.58,23.40,3757
1388,8074,Maurice SMITH,28 SEP 1980,JAM,2,Melbourne (AUS),21 MAR 2006,6.91,50.26,60.2,4:29.95,23.94,3784
1388,8074,Yordani GARCÍA,21 NOV 1988,CUB,3,Guadalajara (MEX),25 OCT 2011,6.78,40.2,63.81,4:49.29,24.01,3371
1388,8074,Ondřej KOPECKÝ,16 MAY 1998,CZE,1,"Atletický stadion Slavia Praha, Praha (CZE)",13 AUG 2023,7.69,48.37,56.49,4:40.45,23.25,3827
1393,8073,Fedor LAUKHIN,13 FEB 1974,UKR,1,Kyiv (UKR),28 JUL 2000,7.35,39.66,58.8,4:19.62,23.99,3787
1393,8073,Pelle RIETVELD,04 FEB 1985,NED,3,Kladno (CZE),10 JUN 2012,7.19,41.51,60.65,4:37.93,23.67,3627
1393,8073,Florian GEFFROUAIS,05 DEC 1988,FRA,2,Angers (FRA),25 JUN 2016,7.1,45.86,58.61,4:19.50,23.58,3900
1393,8073,Jorge UREÑA,08 OCT 1993,ESP,3,Lutsk (UKR),07 JUL 2019,7.38,39.6,58.01,4:27.06,23.54,3749
1393,8073,Mathias BRUGGER,06 AUG 1992,GER,12,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,7.04,44.99,54.67,4:26.30,23.39,3756
1393,8073,Jorge UREÑA,08 OCT 1993,ESP,1,"Polideportivo Juan de la Cierva, Getafe (ESP)",26 JUN 2021,7.43,38.52,61.1,4:38.28,24.65,3494
1399,8072,Andrei NAZAROV,09 JAN 1965,URS,8,"Poljud Stadion, Split (CRO)",29 AUG 1990,7.43,41.82,56.56,4:33.88,23.95,3640
1399,8072,Aleksandr POGORELOV,10 JAN 1980,RUS,1,Arles (FRA),08 JUN 2003,7.57,44.31,59.42,4:57.10,23.52,3524
1399,8072,Hans VAN ALPHEN,12 JAN 1982,BEL,5,"Estadio Olímpico, Barcelona (ESP)",29 JUL 2010,7.26,47.67,58.47,4:21.06,24.41,3835
1399,8072,Oleksiy KASYANOV,26 AUG 1985,UKR,4,"Olympisch Stadion, Amsterdam (NED)",07 JUL 2016,7.43,42.46,48.23,4:32.56,23.55,3604
1403,8071,Viktor RADCHENKO,11 MAY 1968,EUN,12,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,7.33,44.84,62.56,4:33.49,23.46,3828
1403,8071,Sándor MUNKÁCSY,24 JUL 1969,HUN,6,"Olympiastadion, Helsinki (FIN)",13 AUG 1994,7.65,42,56.94,4:20.27,23.29,3954
1403,8071,Lev LOBODIN,01 APR 1969,RUS,13,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,7.18,44.55,50.16,4:50.73,24.70,3235
1403,8071,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,4,Arles (FRA),01 JUL 2001,6.96,45.87,47.03,4:37.98,23.81,3446
1403,8071,Daniel GOLUBOVIC,29 NOV 1993,AUS,14,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,6.96,46.37,56.75,4:29.67,24.02,3667
1409,8070,Hans VAN ALPHEN,12 JAN 1982,BEL,4,"Stade Pierre Paul Bernard, Talence (FRA)",20 SEP 2009,7.4,45.52,62.75,4:17.51,25.11,3837
1409,8070,Jamie ADJETEY-NELSON,20 MAY 1984,CAN,1,New Delhi (IND),08 OCT 2010,7.37,45.21,61.32,4:52.23,23.49,3589
1409,8070,Aleksandr TABALA,23 MAY 1986,RUS,3,"Adler, Sochi (RUS)",08 MAY 2012,7.02,47.37,64.16,4:29.65,23.66,3851
1409,8070,Kurt FELIX,04 JUL 1988,GRN,3,"Hampden Park, Glasgow (GBR)",29 JUL 2014,7.43,45.3,66.33,4:47.66,23.83,3685
1409,8070,Fredrik SAMUELSSON,16 FEB 1995,SWE,2,"Stadio Tre Stelle, Desenzano del Garda (ITA)",30 APR 2023,7.22,42.43,60.73,4:35.52,23.69,3678
1417,8069,Prodromos KORKIZOGLOU,27 FEB 1975,GRE,1,Ibach (SUI),02 JUL 2000,7.24,41.82,56.93,4:50.77,23.66,3432
1417,8069,Pascal BEHRENBRUCH,19 JAN 1985,GER,10,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,6.99,43.16,60.9,4:24.16,24.59,3665
1417,8069,Robert Jacob ARNOLD,03 JAN 1984,USA,10,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,6.92,45.76,56.84,4:31.13,23.95,3640
1417,8069,Pascal BEHRENBRUCH,19 JAN 1985,GER,8,"Mösle-Stadium, Götzis (AUT)",30 MAY 2010,7.27,48.43,63.9,4:50.81,24.56,3536
1417,8069,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,13,"DS, Daegu (KOR)",28 AUG 2011,7.79,37.2,58.91,4:45.86,24.07,3500
1417,8069,Roman ŠEBRLE,26 NOV 1974,CZE,14,"DS, Daegu (KOR)",28 AUG 2011,7.3,46.93,67.28,4:56.50,23.58,3624
1425,8068,Tomáš DVOŘÁK,11 MAY 1972,CZE,8,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,7.31,45.69,64.89,4:34.24,23.85,3811
1425,8068,Aleksey SYSOYEV,08 MAR 1985,RUS,10,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,6.83,50.67,50.68,4:29.94,24.08,3621
1425,8068,Carlos Eduardo BEZERRA CHININ,03 MAY 1985,BRA,5,Kladno (CZE),16 JUN 2011,7.39,44.99,55.47,4:34.42,23.64,3709
1425,8068,Dakotah KEYS,27 SEP 1991,USA,3,"Eugene, OR (USA)",12 JUN 2014,7.31,37.93,68.18,4:28.29,23.76,3801
1425,8068,Yordani GARCÍA,21 NOV 1988,CUB,2,La Habana (CUB),18 MAR 2016,6.66,39.9,65.38,4:31.84,23.99,3582
1430,8067,Sebastian CHMARA,21 NOV 1971,POL,1f,Bressanone (ITA),05 JUL 1998,7.45,42.7,53.41,5:04.82,23.90,3236
1430,8067,Roland SCHWARZL,10 DEC 1980,AUT,11,Götzis (AUT),30 MAY 2004,7.57,44.38,55.85,4:38.92,23.66,3683
1430,8067,Romain BARRAS,01 AUG 1980,FRA,13,"Olympic Stadium, Athina (GRE)",24 AUG 2004,6.99,44.83,64.55,4:27.09,24.20,3763
1430,8067,Erki NOOL,25 JUN 1970,EST,4,Talence (FRA),26 SEP 2004,7.23,40.87,62.77,4:40.15,23.73,3618
1430,8067,Roman ŠEBRLE,26 NOV 1974,CZE,4,"Stade Pierre Paul Bernard, Talence (FRA)",23 SEP 2007,7.37,42.6,63.44,4:47.53,22.98,3698
1430,8067,Yordani GARCÍA,21 NOV 1988,CUB,6,Kladno (CZE),16 JUN 2011,6.87,41.97,59.84,4:34.77,24.28,3512
1430,8067,Isaac MURPHY,10 MAY 1990,USA,1,"Austin, TX (USA)",29 MAR 2012,7.53,41.71,52.12,4:28.44,23.85,3678
1430,8067,Artem LUKYANENKO,30 JAN 1990,RUS,4,"Kadrioru staadion, Tallinn (EST)",30 JUN 2013,7.05,44.25,62.73,4:45.37,23.06,3665
1430,8067,Jan DOLEŽAL,06 JUN 1996,CZE,8,"Olympiastadion, Berlin (GER)",08 AUG 2018,7.12,45.81,62.67,4:41.27,24.71,3538
1430,8067,Manuel EITEL,28 JAN 1997,GER,3,"Gunder Hägg Stadion, Gävle (SWE)",14 JUL 2019,7.13,41.36,60.17,4:46.53,23.29,3548
1430,8067,Maicel UIBO,27 DEC 1992,EST,7,"Mösle-Stadium, Götzis (AUT)",29 MAY 2022,7.17,47.81,58.32,4:43.89,24.51,3518
1441,8066,Valeriy BELOUSOV,22 JAN 1970,RUS,2,Krasnodar (RUS),21 MAY 1997,7.16,44.48,61.12,4:28.95,24.31,3707
1441,8066,Vasiliy KHARLAMOV,08 JAN 1986,RUS,2,Cheboksary (RUS),10 JUN 2011,7.44,46.68,59.57,4:40.48,23.60,3738
1446,8065,Tomáš DVOŘÁK,11 MAY 1972,CZE,7,"Olympiastadion, Helsinki (FIN)",13 AUG 1994,7.69,42.84,59.54,4:29.69,23.96,3807
